source_url,access_datetime,content
https://kun.uz/,2022-12-02 18:51:03.608287, Дунёнинг энг қиммат шаҳарлари рейтинги эълон қилинди. Тошкент энг арзон шаҳарлар бешталигида
https://kun.uz/,2022-12-02 18:51:03.608443, Россия қўшини Запорижжя АЭСни тарк этиши мумкин
https://kun.uz/,2022-12-02 18:51:03.608507," ЖЧ-2022. Жанубий Корея 90+1-дақиқадаги гол эвазига Португалияни мағлуб этиб 1/8 финалга чиқди, Уругвай турнир билан хайрлашди"
https://kun.uz/,2022-12-02 18:51:03.608566, Хитойда қуёшни кузатиш учун мўлжалланган дунёдаги энг йирик радиотелескоп қурилди
https://kun.uz/,2022-12-02 18:51:03.608615, Қизларни тадбирга жалб қилиш таклифи тўгарак раҳбари ва ота-оналардан чиққан — ҳокимлик
https://kun.uz/,2022-12-02 18:51:03.608661, Термизда Афғонистон иқтисодиётига мутахассислар тайёрлаш учун таълим кластери ташкил этилади
https://kun.uz/,2022-12-02 18:51:03.608708, Украина элчихоналарига ҳайвонлар кўзи солинган пакетлар юборилди
https://kun.uz/,2022-12-02 18:51:03.608758, ИИВ Бухорода ИИБ биносида фуқаро вафот этганини рад этди. Прокуратура ҳолат ўрганилаётганини маълум қилди
